id_,methodAnonymousClassesQty,methodAssignmentsQty,methodCbo,methodComparisonsQty,methodLambdasQty,methodLoc,methodLoopQty,methodMathOperationsQty,methodMaxNestedBlocks,methodNumbersQty,methodParametersQty,methodParenthesizedExpsQty,methodReturnQty,methodRfc,methodStringLiteralsQty,methodSubClassesQty,methodTryCatchQty,methodUniqueWordsQty,methodVariablesQty,methodWmc,bugFixCount,refactoringsInvolved
93632,2,12,10,1,0,92,6,3,6,0,1,0,1,43,14,0,1,46,12,24,1,3
97293,0,55,9,10,0,226,2,7,5,29,3,6,14,46,101,0,12,77,30,45,11,5
27077,0,16,8,5,0,95,0,6,6,20,2,0,10,29,9,0,2,48,16,21,3,4
63410,0,26,8,0,0,62,2,2,6,9,0,0,0,28,2,0,4,50,11,9,12,5
53468,0,35,9,4,0,148,3,14,7,1,3,0,1,38,26,0,7,72,17,29,1,0
37573,0,29,29,2,2,118,2,1,3,4,8,0,2,80,12,0,6,154,26,15,73,37
98816,5,38,7,0,0,157,0,36,5,24,0,13,0,25,19,0,2,95,22,15,0,0
55908,0,56,30,4,0,199,6,12,5,3,0,3,0,82,40,0,2,198,30,38,12,7
17148,0,27,4,2,0,143,7,2,7,5,2,0,4,29,1,0,5,65,14,31,4,1
96362,0,37,4,0,0,346,11,0,4,0,2,3,0,30,3,0,0,58,35,53,7,5
76276,0,81,31,16,0,276,2,4,6,14,5,5,6,85,21,0,8,95,47,64,6,2
89098,0,42,11,4,0,170,2,6,4,9,1,6,0,76,40,0,1,60,29,50,0,0
98204,0,9,9,2,0,68,5,3,8,2,1,0,2,22,23,0,1,75,8,21,16,6
62312,0,32,10,1,0,88,5,3,6,2,1,0,1,29,24,0,1,49,20,15,4,16
46997,1,34,14,1,0,154,7,1,8,1,0,0,1,75,2,0,0,92,18,54,21,13
28412,0,29,10,12,0,93,8,13,4,6,1,1,1,25,27,0,3,70,23,34,26,8
91389,0,25,15,7,0,83,2,4,4,6,10,2,4,38,27,0,0,73,23,21,43,26
47765,0,21,14,0,0,86,0,1,4,1,2,0,8,67,15,0,5,93,20,12,12,1
62340,0,20,9,1,0,85,2,9,6,3,0,0,0,38,15,0,2,58,13,15,17,13
97165,0,104,19,14,0,313,9,27,8,36,2,7,0,116,75,0,1,192,77,76,8,2
92785,0,81,10,3,0,245,10,14,11,11,3,0,1,57,98,0,4,91,56,58,0,1
65230,0,43,18,0,0,152,3,12,4,1,2,0,1,80,25,0,4,99,41,17,10,3
23328,0,42,3,8,0,169,5,12,6,3,0,4,1,58,32,0,1,92,30,38,4,5
29486,0,11,11,2,0,63,2,0,9,0,1,0,0,30,2,0,0,35,10,20,61,54
89326,0,30,7,5,0,83,5,1,8,20,0,4,0,13,0,0,0,42,24,29,20,6
41634,0,62,12,7,0,174,4,3,4,10,11,7,1,40,4,0,4,67,37,36,10,5
88937,0,57,13,4,0,154,9,3,6,0,0,0,1,28,12,0,0,74,33,32,0,11
34127,0,44,29,0,0,135,0,2,1,0,13,1,1,95,34,0,1,136,41,28,16,19
82544,0,151,22,28,0,491,1,18,6,50,4,4,4,90,16,0,12,145,77,89,0,0
61816,0,126,4,36,0,327,0,3,4,42,3,0,3,26,218,0,3,85,21,66,2,8
49685,14,35,20,0,0,266,0,3,1,2,1,0,2,64,12,0,1,141,26,11,47,75
76050,0,23,22,1,0,81,4,9,4,1,1,0,4,30,13,0,3,76,17,14,8,12
20854,0,18,15,1,1,93,0,0,5,3,2,0,6,41,2,0,5,73,16,11,52,17
96549,0,36,8,4,0,142,2,1,4,11,0,3,1,50,2,0,0,58,16,56,3,1
7609,0,13,12,0,0,94,5,8,4,0,1,0,1,39,12,0,2,65,12,16,132,115
62383,1,15,8,2,0,122,1,6,6,7,1,0,13,40,6,0,1,48,7,25,61,12
25846,0,29,12,3,0,97,4,8,7,16,5,3,2,24,10,0,1,72,18,28,13,5
62315,0,21,14,4,0,123,2,7,4,6,0,2,1,41,34,0,2,91,18,29,16,1
84450,0,71,3,11,0,317,2,16,3,52,1,0,5,58,97,0,14,119,42,92,38,8
87341,0,19,18,3,0,79,2,2,5,1,2,2,3,37,7,0,1,74,16,23,63,32
81626,0,48,40,7,0,152,5,5,4,13,2,3,0,67,14,0,1,124,43,69,70,16
24021,0,20,1,3,0,85,2,4,7,2,0,1,0,22,13,0,2,61,9,16,0,0
36880,0,19,15,10,0,174,18,0,7,1,4,10,1,71,10,0,0,64,16,75,5,7
32565,0,27,7,3,0,115,4,4,5,11,3,0,3,39,31,0,2,55,17,26,4,4
92820,0,28,5,6,0,81,8,1,8,19,0,1,0,12,0,0,1,40,18,25,0,4
18528,21,46,21,1,0,304,0,2,2,12,1,0,0,48,35,0,0,207,20,3,0,4
66740,1,22,14,1,0,98,1,8,4,7,2,4,0,45,18,0,2,96,20,19,31,19
5898,0,49,9,2,0,166,6,2,8,7,1,5,3,45,46,0,0,63,42,41,3,7
71266,0,45,1,5,0,158,11,4,5,27,0,4,1,24,42,0,0,60,16,54,10,7
75010,1,41,20,15,0,153,2,8,5,6,4,4,0,62,16,0,1,102,34,42,6,1
12256,0,94,0,3,0,187,21,23,4,73,0,6,1,11,2,0,0,37,53,53,0,1
16101,0,37,14,1,0,105,8,0,4,5,3,4,0,33,0,0,0,90,27,33,65,65
7555,0,12,11,3,0,126,3,5,7,4,4,2,2,37,6,0,3,67,8,47,14,5
25341,0,109,31,6,0,404,6,8,8,19,2,8,3,124,55,0,11,177,88,97,10,5
92710,0,37,8,4,0,175,4,8,8,8,2,4,5,35,0,0,0,53,16,51,92,22
76801,0,21,12,5,0,128,1,2,7,0,2,0,0,21,4,0,4,41,7,33,1,3
22506,0,220,22,44,0,693,33,132,14,275,1,34,7,105,0,0,0,171,131,219,59,35
62275,0,15,5,1,0,94,3,2,6,1,3,2,0,32,10,0,4,46,11,29,15,1
16426,0,42,14,7,0,144,0,14,4,19,1,13,5,51,25,0,0,45,17,54,17,6
31395,0,31,23,9,0,50,1,4,5,4,2,0,0,30,9,0,0,75,27,23,24,3
26064,0,21,5,2,0,104,2,15,8,12,0,0,1,36,21,0,1,95,20,29,3,0
75113,2,55,14,3,0,141,6,31,4,40,5,13,1,38,2,0,0,84,39,21,32,19
95247,0,40,12,4,0,175,8,7,6,11,2,6,1,69,4,0,4,82,27,53,80,91
47848,0,104,30,29,0,416,11,47,6,80,8,18,33,88,5,0,10,119,61,97,46,23
59487,0,30,20,13,0,239,2,8,10,14,3,21,12,69,27,0,6,139,11,73,1,7
10079,0,25,13,1,0,126,2,6,5,6,10,0,0,47,13,0,0,55,22,19,1,7
11698,0,234,22,50,0,752,35,152,14,323,1,42,7,111,0,0,0,176,136,262,60,39
66358,3,29,4,3,0,113,3,1,4,1,0,6,2,40,28,0,2,90,25,20,0,3
36387,8,64,7,3,0,265,5,4,6,16,4,18,0,37,14,0,1,110,43,34,3,3
35366,0,51,4,6,0,149,6,16,6,25,0,5,0,23,0,0,0,64,20,41,21,2
37265,0,12,4,1,0,113,3,0,5,4,1,0,4,27,7,0,7,71,6,28,38,50
96519,0,28,15,1,0,107,3,6,6,3,1,1,1,47,15,0,2,73,24,25,19,16
3849,0,50,27,3,0,156,1,10,7,13,1,1,3,58,19,0,4,86,44,19,0,0
68144,0,37,20,1,0,86,6,3,8,0,5,0,0,37,1,0,2,73,35,15,5,2
33667,0,20,30,1,0,132,2,6,3,0,4,0,20,28,25,0,3,55,20,47,4,1
87264,0,37,24,0,0,139,1,0,5,0,4,0,1,56,5,0,5,67,23,34,19,6
9826,0,37,24,8,0,115,4,2,3,3,2,6,1,51,1,0,1,69,34,28,23,26
52337,0,31,23,0,0,94,5,0,2,0,2,0,1,64,2,0,0,43,31,22,83,45
99069,0,23,17,1,0,56,6,8,6,11,4,3,0,23,7,0,0,42,16,17,0,1
67264,0,15,17,3,0,70,6,4,5,0,2,0,1,47,6,0,0,43,15,19,2,2
43310,0,22,6,3,0,194,5,6,5,7,1,7,2,66,82,0,4,118,19,43,4,5
68794,0,17,9,0,0,64,2,1,5,1,1,3,4,43,10,0,1,74,12,13,19,1
17999,0,30,3,12,0,130,4,31,4,37,1,4,8,44,34,0,2,105,14,39,14,6
61767,0,42,17,7,0,102,6,3,6,8,1,5,0,45,0,0,0,67,35,26,32,2
76557,0,43,23,2,0,116,6,1,9,4,2,5,2,41,2,0,2,68,28,29,22,19
28374,0,73,13,16,0,407,4,35,11,10,4,2,0,46,98,0,1,115,54,140,11,3
11656,0,36,5,7,0,95,7,13,5,20,2,12,1,26,48,0,0,46,22,40,0,1
50170,0,69,4,14,0,286,14,7,7,31,2,3,22,27,0,0,0,53,14,68,1,3
53159,2,25,12,5,0,204,0,0,4,49,7,1,0,31,1,0,1,73,14,35,12,2
70528,0,35,13,5,0,156,6,13,10,13,2,6,7,47,30,0,1,93,24,43,18,3
22816,0,58,33,7,0,245,10,6,7,0,1,0,3,114,20,0,5,179,41,52,30,28
42011,0,17,2,3,0,65,3,3,6,6,1,2,1,30,14,0,3,83,16,16,3,1
63257,1,39,10,1,0,84,4,12,5,11,0,5,1,67,9,0,3,110,34,15,30,29
97654,0,55,11,3,0,268,5,3,6,40,2,0,9,111,37,0,11,91,41,65,52,8
2099,0,32,8,1,0,89,2,10,7,6,4,0,0,38,13,0,0,47,20,18,0,5
53993,0,27,7,11,0,120,6,0,5,2,1,2,0,37,12,0,4,52,23,32,0,0
54582,0,42,7,10,0,136,9,9,10,11,0,7,1,36,31,0,1,57,22,42,0,0
29760,0,38,7,3,0,97,3,46,5,124,0,1,0,18,0,0,0,61,38,12,51,40
7487,2,55,12,3,0,195,8,24,4,24,2,1,0,50,74,0,0,110,46,42,0,1
5709,0,118,21,2,0,241,6,4,3,1,2,4,2,53,18,0,0,66,33,56,117,16
82936,0,31,16,0,0,123,2,12,2,6,3,0,1,70,26,0,2,113,29,16,11,11
83304,0,60,23,2,0,244,1,2,2,2,0,1,1,38,50,0,1,110,24,53,45,53
60405,0,9,14,25,0,218,2,8,6,0,1,3,1,40,28,0,0,34,9,43,5,5
